"","ORDER"
"1","Netuma thalassina"
"2","Xenentodon cancila"
"3","Heteropneustes fossilis"
"4","Badis badis"
"5","Bungarus fasciatus"
"6","Naja naja"
"7","Felis chaus"
"8","Prionailurus viverrinus"
"9","Haliaeetus leucogaster"
"10","Spilornis cheela"
"11","Alcedo atthis"
"12","Varanus bengalensis"
"13","Channa striata"
"14","Duttaphrynus scaber"
"15","Fejervarya orissaensis"
"16","Minervarya agricola"
"17","Hoplobatrachus crassus"
"18","Macrognathus pancalus"
"19","Mastacembelus armatus"
"20","Trichogaster lalius"
"21","Trichogaster fasciata"
"22","Lissemys punctata"
"23","Parambassis baculis"
"24","Aplocheilus panchax"
"25","Hydrovatus confertus"
"26","Minervarya pierrei"
"27","Sphaerotheca breviceps"
"28","Sphaerotheca rolandae"
"29","Microhyla mymensinghensis"
"30","Uperodon systoma"
"31","Enhydris enhydris"
"32","Fowlea piscator"
"33","Coracias benghalensis"
"34","Arcella discoides"
"35","Centropyxis aculeata"
"36","Brachionus calyciflorus"
"37","Brachionus forficula"
"38","Keratella lenzi"
"39","Lecane aculeata"
"40","Lecane bulla"
"41","Asplanchna brightwelli"
"42","Mesocyclops leukarti"
"43","Scapholeberis kingi"
"44","Macrothrix spinosa"
"45","Macrothrix goeldi"
"46","Alona pulchella"
"47","Coronatella rectangula"
"48","Tachybaptus ruficollis"
"49","Centropus bengalensis"
"50","Porphyrio poliocephalus"
"51","Amaurornis phoenicurus"
"52","Vanellus indicus"
"53","Mycteria leucocephala"
"54","Ardea purpurea"
"55","Ardea alba"
"56","Nycticorax nycticorax"
"57","Ceryle rudis"
"58","Merops philippinus"
"59","Oriolus kundoo"
"60","Oriolus xanthornus"
"61","Acridotheres ginginianus"
"62","Motacilla citreola"
"63","Carp sp."
"64","Channa punctata"
"65","Mystus tengara"
"66","Mystus vittatus"
"67","Glossogobius giuris"
"68","Oreochromis niloticus"
"69","Duttaphrynus melanostictus"
"70","Hoplobatrachus tigerinus"
"71","Channa gachua"
"72","Notopterus notopterus"
"73","Diplonychus annulatus"
"74","Diplonychus rusticus"
"75","Aquarius adelaides"
"76","Limnogonus fossarum"
"77","Laccotrephes griseus"
"78","Laccotrephes ruber"
"79","Ranatra elongata"
"80","Ranatra filiformis"
"81","Ranatra varipes"
"82","Anisops campbelli"
"83","Euphlyctis cyanophlyctis"
"84","Big fish juveniles"
"85","Puntius vittatus"
"86","Rasbora daniconius"
"87","Pethia phutunio"
"88","Herbaceous aquatic plants"
"89","Tadploes"
"90","Macrobrachium malcolmsonii"
"91","Macrobrachium rosenbergii"
"92","Macrobrachium rude"
"93","Macrobrachium equidens"
"94","Hylarana tytleri"
"95","Polypedates maculatus"
"96","Odonata sp."
"97","Detritus"
"98","Mosquito larvae"
"99","Green Algae"
"100","Dendrocygna javanica"
"101","Himantopus himantopus"
"102","Metopidius indicus"
"103","Anastomus oscitans"
"104","Microcarbo niger"
"105","Ardea intermedia"
"106","Egretta garzetta"
"107","Bubulcus ibis"
"108","Ardeola grayii"
"109","Halcyon smyrnensis"
"110","Merops orientalis"
"111","Hirundo rustica"
